2026-03-06 10:32:30.839,RIOT-BLE-1,1091,1963,-2,4416,-2,10112,1,-63
2026-03-06 10:32:30.840,RIOT-BLE-2,5320,1501,-2,3766,-2,10040,1,-28
2026-03-06 10:32:30.840,RIOT-BLE-1,1092,1964,-2,4424,-2,10112,1,-55
2026-03-06 10:32:30.840,RIOT-BLE-2,5321,1500,-2,3766,-2,10041,1,-26
2026-03-06 10:32:30.841,RIOT-BLE-2,5322,1501,-2,3772,-2,10041,1,-25
2026-03-06 10:32:30.841,RIOT-BLE-1,1093,1963,-2,4426,-2,10112,1,-55
2026-03-06 10:32:30.842,RIOT-BLE-1,1094,1963,-2,4440,-2,10112,1,-53
2026-03-06 10:32:30.842,RIOT-BLE-2,5323,1500,-2,3775,-2,10041,1,-28
2026-03-06 10:32:30.842,RIOT-BLE-1,1095,1964,-2,4422,-2,10112,1,-54
2026-03-06 10:32:30.842,RIOT-BLE-2,5324,1501,-2,3758,-2,10041,1,-27
2026-03-06 10:32:30.843,RIOT-BLE-2,5325,1500,-2,3762,-2,10041,1,-28
2026-03-06 10:32:30.843,RIOT-BLE-1,1096,1963,-2,4429,-2,10112,1,-53
2026-03-06 10:32:30.844,RIOT-BLE-1,1097,1963,-2,4416,-2,10112,1,-56
2026-03-06 10:32:30.844,RIOT-BLE-2,5326,1499,-2,3764,-2,10041,1,-28
2026-03-06 10:32:30.845,RIOT-BLE-1,1098,1963,-2,4428,-2,10112,1,-55
2026-03-06 10:32:30.845,RIOT-BLE-2,5327,1500,-2,3759,-2,10041,1,-25
2026-03-06 10:32:30.846,RIOT-BLE-2,5328,1500,-2,3768,-2,10041,1,-25
2026-03-06 10:32:30.846,RIOT-BLE-1,1099,1962,-2,4418,-2,10112,1,-51
2026-03-06 10:32:30.887,RIOT-BLE-1,1100,1962,-2,4422,-2,10112,1,-56
2026-03-06 10:32:30.909,RIOT-BLE-2,5329,1500,-2,3769,-2,10040,1,-25
2026-03-06 10:32:30.986,RIOT-BLE-1,1101,1961,-2,4421,-2,10112,1,-51
2026-03-06 10:32:31.010,RIOT-BLE-2,5330,1499,-2,3764,-2,10041,1,-26
2026-03-06 10:32:31.087,RIOT-BLE-1,1102,1961,-2,4426,-2,10112,1,-51
2026-03-06 10:32:31.110,RIOT-BLE-2,5331,1499,-2,3764,-2,10041,1,-25
2026-03-06 10:32:31.209,RIOT-BLE-2,5332,1498,-2,3765,-2,10040,1,-27
2026-03-06 10:32:31.237,RIOT-BLE-1,1103,1961,-2,4412,-2,10112,1,-50
2026-03-06 10:32:31.337,RIOT-BLE-1,1104,1960,-2,4419,-2,10112,1,-51
2026-03-06 10:32:31.361,RIOT-BLE-2,5333,1498,-2,3765,-2,10041,1,-29
2026-03-06 10:32:31.437,RIOT-BLE-1,1105,1959,-2,4420,-2,10112,1,-52
2026-03-06 10:32:31.460,RIOT-BLE-2,5334,1499,-2,3760,-2,10041,1,-29
2026-03-06 10:32:31.562,RIOT-BLE-2,5335,1498,-2,3769,-2,10040,1,-24
2026-03-06 10:32:31.587,RIOT-BLE-1,1106,1958,-2,4404,-2,10112,1,-52
2026-03-06 10:32:31.688,RIOT-BLE-1,1107,1958,-2,4406,-2,10113,1,-58
2026-03-06 10:32:31.710,RIOT-BLE-2,5336,1499,-2,3770,-2,10041,1,-26
2026-03-06 10:32:31.787,RIOT-BLE-1,1108,1956,-2,4419,-2,10112,1,-50
2026-03-06 10:32:31.815,RIOT-BLE-2,5337,1498,-2,3767,-2,10041,1,-25
2026-03-06 10:32:31.909,RIOT-BLE-2,5338,1499,-2,3760,-2,10041,1,-25
2026-03-06 10:32:31.936,RIOT-BLE-1,1109,1956,-2,4404,-2,10112,1,-50
2026-03-06 10:32:32.037,RIOT-BLE-1,1110,1956,-2,4416,-2,10113,1,-50
2026-03-06 10:32:32.061,RIOT-BLE-2,5339,1498,-2,3766,-2,10041,1,-26
2026-03-06 10:32:32.137,RIOT-BLE-1,1111,1956,-2,4412,-2,10112,1,-52
2026-03-06 10:32:32.160,RIOT-BLE-2,5340,1498,-2,3755,-2,10041,1,-26
2026-03-06 10:32:32.237,RIOT-BLE-1,1112,1954,-2,4412,-2,10112,1,-58
2026-03-06 10:32:32.261,RIOT-BLE-2,5341,1498,-2,3764,-2,10041,1,-25
2026-03-06 10:32:32.360,RIOT-BLE-2,5342,1498,-2,3764,-2,10041,1,-25
2026-03-06 10:32:32.387,RIOT-BLE-1,1113,1954,-2,4411,-2,10112,1,-55
2026-03-06 10:32:32.487,RIOT-BLE-1,1114,1954,-2,4405,-2,10112,1,-55
