ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-07 17:39:14.841,RIOT-BLE-1,1992,,,,,,,-63
2026-03-07 17:39:14.846,RIOT-BLE-3,36487,,,,,,,-74
2026-03-07 17:39:14.896,RIOT-BLE-3,36488,,,,,,,-73
2026-03-07 17:39:14.925,RIOT-BLE-2,1093,,,,,,,-72
2026-03-07 17:39:14.927,RIOT-BLE-2,1094,,,,,,,-73
2026-03-07 17:39:14.937,RIOT-BLE-0,38093,,,,,,,-75
2026-03-07 17:39:14.941,RIOT-BLE-1,1993,,,,,,,-63
2026-03-07 17:39:14.975,RIOT-BLE-2,1095,,,,,,,-75
2026-03-07 17:39:15.036,RIOT-BLE-0,38094,,,,,,,-76
2026-03-07 17:39:15.041,RIOT-BLE-1,1994,,,,,,,-64
2026-03-07 17:39:15.046,RIOT-BLE-3,36489,,,,,,,-72
2026-03-07 17:39:15.075,RIOT-BLE-2,1096,,,,,,,-75
2026-03-07 17:39:15.097,RIOT-BLE-3,36490,,,,,,,-76
2026-03-07 17:39:15.137,RIOT-BLE-0,38095,,,,,,,-73
2026-03-07 17:39:15.141,RIOT-BLE-1,1995,,,,,,,-66
2026-03-07 17:39:15.197,RIOT-BLE-3,36491,,,,,,,-76
2026-03-07 17:39:15.241,RIOT-BLE-1,1996,,,,,,,-63
2026-03-07 17:39:15.286,RIOT-BLE-0,38096,,,,,,,-74
2026-03-07 17:39:15.296,RIOT-BLE-3,36492,,,,,,,-76
2026-03-07 17:39:15.325,RIOT-BLE-2,1097,,,,,,,-75
2026-03-07 17:39:15.327,RIOT-BLE-2,1098,,,,,,,-75
2026-03-07 17:39:15.336,RIOT-BLE-0,38097,,,,,,,-72
2026-03-07 17:39:15.341,RIOT-BLE-1,1997,,,,,,,-67
2026-03-07 17:39:15.375,RIOT-BLE-2,1099,,,,,,,-74
2026-03-07 17:39:15.437,RIOT-BLE-0,38098,,,,,,,-76
2026-03-07 17:39:15.441,RIOT-BLE-1,1998,,,,,,,-65
2026-03-07 17:39:15.446,RIOT-BLE-3,36493,,,,,,,-77
2026-03-07 17:39:15.525,RIOT-BLE-2,1100,,,,,,,-73
2026-03-07 17:39:15.537,RIOT-BLE-0,38099,,,,,,,-76
2026-03-07 17:39:15.542,RIOT-BLE-1,1999,,,,,,,-64
2026-03-07 17:39:15.625,RIOT-BLE-2,1101,,,,,,,-75
2026-03-07 17:39:15.637,RIOT-BLE-0,38100,,,,,,,-73
2026-03-07 17:39:15.642,RIOT-BLE-1,2000,,,,,,,-64
2026-03-07 17:39:15.647,RIOT-BLE-3,36494,,,,,,,-74
2026-03-07 17:39:15.649,RIOT-BLE-3,36495,,,,,,,-75
2026-03-07 17:39:15.725,RIOT-BLE-2,1102,,,,,,,-76
2026-03-07 17:39:15.737,RIOT-BLE-0,38101,,,,,,,-77
2026-03-07 17:39:15.742,RIOT-BLE-1,2001,,,,,,,-66
2026-03-07 17:39:15.747,RIOT-BLE-3,36496,,,,,,,-77
2026-03-07 17:39:15.775,RIOT-BLE-2,1103,,,,,,,-72
2026-03-07 17:39:15.842,RIOT-BLE-1,2002,,,,,,,-67
2026-03-07 17:39:15.847,RIOT-BLE-3,36497,,,,,,,-75
2026-03-07 17:39:15.887,RIOT-BLE-0,38102,,,,,,,-79
2026-03-07 17:39:15.925,RIOT-BLE-2,1104,,,,,,,-78
2026-03-07 17:39:15.937,RIOT-BLE-0,38103,,,,,,,-75
2026-03-07 17:39:15.942,RIOT-BLE-1,2003,,,,,,,-65
2026-03-07 17:39:15.947,RIOT-BLE-3,36498,,,,,,,-76
2026-03-07 17:39:15.975,RIOT-BLE-2,1105,,,,,,,-72
2026-03-07 17:39:15.997,RIOT-BLE-3,36499,,,,,,,-78
2026-03-07 17:39:16.037,RIOT-BLE-0,38104,,,,,,,-75
2026-03-07 17:39:16.042,RIOT-BLE-1,2004,,,,,,,-65
2026-03-07 17:39:16.075,RIOT-BLE-2,1106,,,,,,,-73
2026-03-07 17:39:16.097,RIOT-BLE-3,36500,,,,,,,-73
2026-03-07 17:39:16.137,RIOT-BLE-0,38105,,,,,,,-76
2026-03-07 17:39:16.143,RIOT-BLE-1,2005,,,,,,,-62
2026-03-07 17:39:16.198,RIOT-BLE-3,36501,,,,,,,-75
2026-03-07 17:39:16.242,RIOT-BLE-1,2006,,,,,,,-65
2026-03-07 17:39:16.275,RIOT-BLE-2,1107,,,,,,,-76
2026-03-07 17:39:16.278,RIOT-BLE-2,1108,,,,,,,-74
2026-03-07 17:39:16.286,RIOT-BLE-0,38106,,,,,,,-72
2026-03-07 17:39:16.342,RIOT-BLE-1,2007,,,,,,,-62
2026-03-07 17:39:16.375,RIOT-BLE-2,1109,,,,,,,-73
2026-03-07 17:39:16.387,RIOT-BLE-0,38107,,,,,,,-74
2026-03-07 17:39:16.397,RIOT-BLE-3,36502,,,,,,,-77
2026-03-07 17:39:16.399,RIOT-BLE-3,36503,,,,,,,-76
2026-03-07 17:39:16.437,RIOT-BLE-0,38108,,,,,,,-71
2026-03-07 17:39:16.442,RIOT-BLE-1,2008,,,,,,,-65
2026-03-07 17:39:16.476,RIOT-BLE-2,1110,,,,,,,-76
2026-03-07 17:39:16.497,RIOT-BLE-3,36504,,,,,,,-75
2026-03-07 17:39:16.542,RIOT-BLE-1,2009,,,,,,,-62
2026-03-07 17:39:16.597,RIOT-BLE-3,36505,,,,,,,-77
2026-03-07 17:39:16.625,RIOT-BLE-2,1111,,,,,,,-74
2026-03-07 17:39:16.637,RIOT-BLE-0,38109,,,,,,,-72
2026-03-07 17:39:16.639,RIOT-BLE-0,38110,,,,,,,-74
2026-03-07 17:39:16.642,RIOT-BLE-1,2010,,,,,,,-66
2026-03-07 17:39:16.675,RIOT-BLE-2,1112,,,,,,,-72
