ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-07 14:07:43.264,RIOT-BLE-0,11900,,,,,,,-57
2026-03-07 14:07:43.265,RIOT-BLE-1,13549,,,,,,,-52
2026-03-07 14:07:43.266,RIOT-BLE-3,13816,,,,,,,-60
2026-03-07 14:07:43.266,RIOT-BLE-0,11901,,,,,,,-58
2026-03-07 14:07:43.267,RIOT-BLE-1,13550,,,,,,,-46
2026-03-07 14:07:43.268,RIOT-BLE-3,13817,,,,,,,-63
2026-03-07 14:07:43.268,RIOT-BLE-0,11902,,,,,,,-59
2026-03-07 14:07:43.269,RIOT-BLE-1,13551,,,,,,,-52
2026-03-07 14:07:43.270,RIOT-BLE-3,13818,,,,,,,-63
2026-03-07 14:07:43.270,RIOT-BLE-0,11903,,,,,,,-57
2026-03-07 14:07:43.271,RIOT-BLE-1,13552,,,,,,,-51
2026-03-07 14:07:43.271,RIOT-BLE-3,13819,,,,,,,-63
2026-03-07 14:07:43.272,RIOT-BLE-0,11904,,,,,,,-57
2026-03-07 14:07:43.273,RIOT-BLE-1,13553,,,,,,,-50
2026-03-07 14:07:43.273,RIOT-BLE-3,13820,,,,,,,-60
2026-03-07 14:07:43.273,RIOT-BLE-0,11905,,,,,,,-59
2026-03-07 14:07:43.274,RIOT-BLE-1,13554,,,,,,,-52
2026-03-07 14:07:43.274,RIOT-BLE-3,13821,,,,,,,-61
2026-03-07 14:07:43.274,RIOT-BLE-0,11906,,,,,,,-62
2026-03-07 14:07:43.275,RIOT-BLE-1,13555,,,,,,,-52
2026-03-07 14:07:43.275,RIOT-BLE-3,13822,,,,,,,-60
2026-03-07 14:07:43.275,RIOT-BLE-0,11907,,,,,,,-59
2026-03-07 14:07:43.276,RIOT-BLE-3,13823,,,,,,,-62
2026-03-07 14:07:43.276,RIOT-BLE-1,13556,,,,,,,-52
2026-03-07 14:07:43.277,RIOT-BLE-0,11908,,,,,,,-58
2026-03-07 14:07:43.277,RIOT-BLE-1,13557,,,,,,,-52
2026-03-07 14:07:43.278,RIOT-BLE-3,13824,,,,,,,-61
2026-03-07 14:07:43.278,RIOT-BLE-0,11909,,,,,,,-57
2026-03-07 14:07:43.279,RIOT-BLE-1,13558,,,,,,,-52
2026-03-07 14:07:43.279,RIOT-BLE-0,11910,,,,,,,-60
2026-03-07 14:07:43.279,RIOT-BLE-3,13825,,,,,,,-60
