ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 14:27:09.568,RIOT-BLE-3,1929,,,,,,,-38
2026-03-06 14:27:09.569,RIOT-BLE-0,1960,,,,,,,-64
2026-03-06 14:27:09.569,RIOT-BLE-1,6308,,,,,,,-52
2026-03-06 14:27:09.570,RIOT-BLE-2,2475,,,,,,,-46
2026-03-06 14:27:09.570,RIOT-BLE-3,1930,,,,,,,-36
2026-03-06 14:27:09.570,RIOT-BLE-0,1961,,,,,,,-63
2026-03-06 14:27:09.571,RIOT-BLE-1,6309,,,,,,,-55
2026-03-06 14:27:09.571,RIOT-BLE-2,2476,,,,,,,-46
2026-03-06 14:27:09.571,RIOT-BLE-3,1931,,,,,,,-35
2026-03-06 14:27:09.572,RIOT-BLE-0,1962,,,,,,,-62
2026-03-06 14:27:09.572,RIOT-BLE-1,6310,,,,,,,-56
2026-03-06 14:27:09.572,RIOT-BLE-2,2477,,,,,,,-47
2026-03-06 14:27:09.572,RIOT-BLE-3,1932,,,,,,,-35
2026-03-06 14:27:09.573,RIOT-BLE-0,1963,,,,,,,-54
2026-03-06 14:27:09.573,RIOT-BLE-1,6311,,,,,,,-51
2026-03-06 14:27:09.574,RIOT-BLE-2,2478,,,,,,,-50
2026-03-06 14:27:09.574,RIOT-BLE-3,1933,,,,,,,-34
2026-03-06 14:27:09.574,RIOT-BLE-0,1964,,,,,,,-59
2026-03-06 14:27:09.575,RIOT-BLE-1,6312,,,,,,,-55
2026-03-06 14:27:09.575,RIOT-BLE-2,2479,,,,,,,-46
2026-03-06 14:27:09.575,RIOT-BLE-3,1934,,,,,,,-40
2026-03-06 14:27:09.575,RIOT-BLE-0,1965,,,,,,,-52
2026-03-06 14:27:09.576,RIOT-BLE-1,6313,,,,,,,-50
2026-03-06 14:27:09.576,RIOT-BLE-2,2480,,,,,,,-48
2026-03-06 14:27:09.576,RIOT-BLE-3,1935,,,,,,,-38
2026-03-06 14:27:09.576,RIOT-BLE-0,1966,,,,,,,-67
2026-03-06 14:27:09.577,RIOT-BLE-1,6314,,,,,,,-56
2026-03-06 14:27:09.577,RIOT-BLE-2,2481,,,,,,,-51
2026-03-06 14:27:09.577,RIOT-BLE-3,1936,,,,,,,-33
2026-03-06 14:27:09.577,RIOT-BLE-0,1967,,,,,,,-56
2026-03-06 14:27:09.578,RIOT-BLE-1,6315,,,,,,,-55
2026-03-06 14:27:09.578,RIOT-BLE-2,2482,,,,,,,-51
2026-03-06 14:27:09.578,RIOT-BLE-3,1937,,,,,,,-35
2026-03-06 14:27:09.578,RIOT-BLE-0,1968,,,,,,,-63
2026-03-06 14:27:09.579,RIOT-BLE-1,6316,,,,,,,-55
2026-03-06 14:27:09.579,RIOT-BLE-2,2483,,,,,,,-53
2026-03-06 14:27:09.579,RIOT-BLE-3,1938,,,,,,,-35
2026-03-06 14:27:09.579,RIOT-BLE-0,1969,,,,,,,-64
2026-03-06 14:27:09.580,RIOT-BLE-1,6317,,,,,,,-52
2026-03-06 14:27:09.580,RIOT-BLE-2,2484,,,,,,,-46
2026-03-06 14:27:09.614,RIOT-BLE-0,1970,,,,,,,-63
2026-03-06 14:27:09.626,RIOT-BLE-1,6318,,,,,,,-55
2026-03-06 14:27:09.634,RIOT-BLE-2,2485,,,,,,,-48
