ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi
2026-03-06 17:32:46.839,RIOT-BLE-2,857,,,,,,,-67
2026-03-06 17:32:46.840,RIOT-BLE-3,1417,,,,,,,-59
2026-03-06 17:32:46.841,RIOT-BLE-2,858,,,,,,,-65
2026-03-06 17:32:46.842,RIOT-BLE-3,1418,,,,,,,-63
2026-03-06 17:32:46.843,RIOT-BLE-2,859,,,,,,,-75
2026-03-06 17:32:46.844,RIOT-BLE-3,1419,,,,,,,-67
2026-03-06 17:32:46.845,RIOT-BLE-2,860,,,,,,,-73
2026-03-06 17:32:46.846,RIOT-BLE-3,1420,,,,,,,-60
2026-03-06 17:32:46.847,RIOT-BLE-2,861,,,,,,,-68
2026-03-06 17:32:46.848,RIOT-BLE-3,1421,,,,,,,-60
2026-03-06 17:32:46.848,RIOT-BLE-2,862,,,,,,,-61
2026-03-06 17:32:46.849,RIOT-BLE-3,1422,,,,,,,-60
2026-03-06 17:32:46.850,RIOT-BLE-2,863,,,,,,,-61
2026-03-06 17:32:46.851,RIOT-BLE-3,1423,,,,,,,-58
2026-03-06 17:32:46.851,RIOT-BLE-2,864,,,,,,,-69
2026-03-06 17:32:46.852,RIOT-BLE-3,1424,,,,,,,-58
2026-03-06 17:32:46.853,RIOT-BLE-2,865,,,,,,,-61
2026-03-06 17:32:46.853,RIOT-BLE-3,1425,,,,,,,-64
2026-03-06 17:32:46.854,RIOT-BLE-2,866,,,,,,,-56
2026-03-06 17:32:46.855,RIOT-BLE-3,1426,,,,,,,-55
2026-03-06 17:32:46.855,RIOT-BLE-2,867,,,,,,,-61
2026-03-06 17:32:46.895,RIOT-BLE-3,1427,,,,,,,-56
2026-03-06 17:32:46.920,RIOT-BLE-2,868,,,,,,,-56
2026-03-06 17:32:46.995,RIOT-BLE-3,1428,,,,,,,-55
2026-03-06 17:32:47.021,RIOT-BLE-2,869,,,,,,,-55
2026-03-06 17:32:47.095,RIOT-BLE-3,1429,,,,,,,-56
2026-03-06 17:32:47.121,RIOT-BLE-2,870,,,,,,,-62
2026-03-06 17:32:47.195,RIOT-BLE-3,1430,,,,,,,-55
2026-03-06 17:32:47.221,RIOT-BLE-2,871,,,,,,,-67
2026-03-06 17:32:47.295,RIOT-BLE-3,1431,,,,,,,-54
2026-03-06 17:32:47.321,RIOT-BLE-2,872,,,,,,,-56
2026-03-06 17:32:47.395,RIOT-BLE-3,1432,,,,,,,-54
2026-03-06 17:32:47.421,RIOT-BLE-2,873,,,,,,,-58
2026-03-06 17:32:47.495,RIOT-BLE-3,1433,,,,,,,-53
2026-03-06 17:32:47.521,RIOT-BLE-2,874,,,,,,,-61
2026-03-06 17:32:47.595,RIOT-BLE-3,1434,,,,,,,-54
2026-03-06 17:32:47.620,RIOT-BLE-2,875,,,,,,,-61
2026-03-06 17:32:47.698,RIOT-BLE-3,1435,,,,,,,-54
2026-03-06 17:32:47.770,RIOT-BLE-2,876,,,,,,,-71
2026-03-06 17:32:47.795,RIOT-BLE-3,1436,,,,,,,-58
2026-03-06 17:32:47.871,RIOT-BLE-2,877,,,,,,,-66
2026-03-06 17:32:47.895,RIOT-BLE-3,1437,,,,,,,-56
2026-03-06 17:32:47.921,RIOT-BLE-2,878,,,,,,,-69
2026-03-06 17:32:47.998,RIOT-BLE-3,1438,,,,,,,-56
2026-03-06 17:32:48.021,RIOT-BLE-2,879,,,,,,,-57
2026-03-06 17:32:48.096,RIOT-BLE-3,1439,,,,,,,-55
2026-03-06 17:32:48.121,RIOT-BLE-2,880,,,,,,,-57
2026-03-06 17:32:48.195,RIOT-BLE-3,1440,,,,,,,-57
2026-03-06 17:32:48.221,RIOT-BLE-2,881,,,,,,,-58
2026-03-06 17:32:48.296,RIOT-BLE-3,1441,,,,,,,-56
2026-03-06 17:32:48.321,RIOT-BLE-2,882,,,,,,,-64
2026-03-06 17:32:48.399,RIOT-BLE-3,1442,,,,,,,-57
2026-03-06 17:32:48.421,RIOT-BLE-2,883,,,,,,,-62
2026-03-06 17:32:48.496,RIOT-BLE-3,1443,,,,,,,-57
2026-03-06 17:32:48.525,RIOT-BLE-2,884,,,,,,,-75
2026-03-06 17:32:48.596,RIOT-BLE-3,1444,,,,,,,-59
2026-03-06 17:32:48.621,RIOT-BLE-2,885,,,,,,,-62
2026-03-06 17:32:48.696,RIOT-BLE-3,1445,,,,,,,-60
2026-03-06 17:32:48.722,RIOT-BLE-2,886,,,,,,,-62
2026-03-06 17:32:48.796,RIOT-BLE-3,1446,,,,,,,-62
2026-03-06 17:32:48.822,RIOT-BLE-2,887,,,,,,,-68
2026-03-06 17:32:48.896,RIOT-BLE-3,1447,,,,,,,-60
2026-03-06 17:32:48.921,RIOT-BLE-2,888,,,,,,,-69
2026-03-06 17:32:48.996,RIOT-BLE-3,1448,,,,,,,-60
2026-03-06 17:32:49.022,RIOT-BLE-2,889,,,,,,,-66
2026-03-06 17:32:49.096,RIOT-BLE-3,1449,,,,,,,-61
2026-03-06 17:32:49.121,RIOT-BLE-2,890,,,,,,,-70
2026-03-06 17:32:49.196,RIOT-BLE-3,1450,,,,,,,-61
2026-03-06 17:32:49.221,RIOT-BLE-2,891,,,,,,,-66
2026-03-06 17:32:49.296,RIOT-BLE-3,1451,,,,,,,-61
2026-03-06 17:32:49.321,RIOT-BLE-2,892,,,,,,,-63
2026-03-06 17:32:49.396,RIOT-BLE-3,1452,,,,,,,-61
2026-03-06 17:32:49.424,RIOT-BLE-2,893,,,,,,,-61
2026-03-06 17:32:49.496,RIOT-BLE-3,1453,,,,,,,-60
2026-03-06 17:32:49.526,RIOT-BLE-2,894,,,,,,,-63
2026-03-06 17:32:49.597,RIOT-BLE-3,1454,,,,,,,-59
2026-03-06 17:32:49.622,RIOT-BLE-2,895,,,,,,,-66
2026-03-06 17:32:49.696,RIOT-BLE-3,1455,,,,,,,-64
2026-03-06 17:32:49.722,RIOT-BLE-2,896,,,,,,,-70
2026-03-06 17:32:49.796,RIOT-BLE-3,1456,,,,,,,-57
2026-03-06 17:32:49.822,RIOT-BLE-2,897,,,,,,,-67
2026-03-06 17:32:49.897,RIOT-BLE-3,1457,,,,,,,-57
2026-03-06 17:32:49.972,RIOT-BLE-2,898,,,,,,,-66
2026-03-06 17:32:49.996,RIOT-BLE-3,1458,,,,,,,-56
2026-03-06 17:32:50.022,RIOT-BLE-2,899,,,,,,,-68
2026-03-06 17:32:50.096,RIOT-BLE-3,1459,,,,,,,-57
2026-03-06 17:32:50.122,RIOT-BLE-2,900,,,,,,,-66
2026-03-06 17:32:50.197,RIOT-BLE-3,1460,,,,,,,-59
2026-03-06 17:32:50.222,RIOT-BLE-2,901,,,,,,,-68
2026-03-06 17:32:50.297,RIOT-BLE-3,1461,,,,,,,-62
2026-03-06 17:32:50.322,RIOT-BLE-2,902,,,,,,,-70
2026-03-06 17:32:50.397,RIOT-BLE-3,1462,,,,,,,-57
2026-03-06 17:32:50.422,RIOT-BLE-2,903,,,,,,,-70
2026-03-06 17:32:50.497,RIOT-BLE-3,1463,,,,,,,-58
2026-03-06 17:32:50.522,RIOT-BLE-2,904,,,,,,,-63
2026-03-06 17:32:50.597,RIOT-BLE-3,1464,,,,,,,-57
2026-03-06 17:32:50.622,RIOT-BLE-2,905,,,,,,,-62
2026-03-06 17:32:50.698,RIOT-BLE-3,1465,,,,,,,-57
2026-03-06 17:32:50.722,RIOT-BLE-2,906,,,,,,,-63
2026-03-06 17:32:50.797,RIOT-BLE-3,1466,,,,,,,-54
2026-03-06 17:32:50.822,RIOT-BLE-2,907,,,,,,,-64
2026-03-06 17:32:50.897,RIOT-BLE-3,1467,,,,,,,-56
2026-03-06 17:32:50.922,RIOT-BLE-2,908,,,,,,,-71
2026-03-06 17:32:50.997,RIOT-BLE-3,1468,,,,,,,-55
2026-03-06 17:32:51.022,RIOT-BLE-2,909,,,,,,,-63
2026-03-06 17:32:51.097,RIOT-BLE-3,1469,,,,,,,-57
2026-03-06 17:32:51.122,RIOT-BLE-2,910,,,,,,,-61
2026-03-06 17:32:51.197,RIOT-BLE-3,1470,,,,,,,-56
2026-03-06 17:32:51.222,RIOT-BLE-2,911,,,,,,,-56
2026-03-06 17:32:51.297,RIOT-BLE-3,1471,,,,,,,-57
2026-03-06 17:32:51.323,RIOT-BLE-2,912,,,,,,,-61
2026-03-06 17:32:51.397,RIOT-BLE-3,1472,,,,,,,-59
2026-03-06 17:32:51.429,RIOT-BLE-2,913,,,,,,,-60
2026-03-06 17:32:51.497,RIOT-BLE-3,1473,,,,,,,-60
2026-03-06 17:32:51.523,RIOT-BLE-2,914,,,,,,,-70
2026-03-06 17:32:51.597,RIOT-BLE-3,1474,,,,,,,-60
2026-03-06 17:32:51.623,RIOT-BLE-2,915,,,,,,,-65
2026-03-06 17:32:51.697,RIOT-BLE-3,1475,,,,,,,-66
2026-03-06 17:32:51.723,RIOT-BLE-2,916,,,,,,,-70
2026-03-06 17:32:51.801,RIOT-BLE-3,1476,,,,,,,-58
2026-03-06 17:32:51.823,RIOT-BLE-2,917,,,,,,,-70
2026-03-06 17:32:51.897,RIOT-BLE-3,1477,,,,,,,-64
2026-03-06 17:32:51.923,RIOT-BLE-2,918,,,,,,,-67
2026-03-06 17:32:51.997,RIOT-BLE-3,1478,,,,,,,-58
2026-03-06 17:32:52.023,RIOT-BLE-2,919,,,,,,,-65
2026-03-06 17:32:52.097,RIOT-BLE-3,1479,,,,,,,-60
2026-03-06 17:32:52.123,RIOT-BLE-2,920,,,,,,,-68
2026-03-06 17:32:52.197,RIOT-BLE-3,1480,,,,,,,-57
2026-03-06 17:32:52.223,RIOT-BLE-2,921,,,,,,,-62
2026-03-06 17:32:52.297,RIOT-BLE-3,1481,,,,,,,-60
2026-03-06 17:32:52.323,RIOT-BLE-2,922,,,,,,,-62
2026-03-06 17:32:52.397,RIOT-BLE-3,1482,,,,,,,-57
2026-03-06 17:32:52.423,RIOT-BLE-2,923,,,,,,,-65
2026-03-06 17:32:52.499,RIOT-BLE-3,1483,,,,,,,-61
2026-03-06 17:32:52.523,RIOT-BLE-2,924,,,,,,,-60
2026-03-06 17:32:52.601,RIOT-BLE-3,1484,,,,,,,-59
2026-03-06 17:32:52.623,RIOT-BLE-2,925,,,,,,,-63
2026-03-06 17:32:52.698,RIOT-BLE-3,1485,,,,,,,-66
2026-03-06 17:32:52.723,RIOT-BLE-2,926,,,,,,,-66
2026-03-06 17:32:52.798,RIOT-BLE-3,1486,,,,,,,-61
2026-03-06 17:32:52.823,RIOT-BLE-2,927,,,,,,,-73
2026-03-06 17:32:52.898,RIOT-BLE-3,1487,,,,,,,-63
2026-03-06 17:32:52.923,RIOT-BLE-2,928,,,,,,,-74
2026-03-06 17:32:52.998,RIOT-BLE-3,1488,,,,,,,-64
2026-03-06 17:32:53.023,RIOT-BLE-2,929,,,,,,,-64
2026-03-06 17:32:53.098,RIOT-BLE-3,1489,,,,,,,-59
2026-03-06 17:32:53.124,RIOT-BLE-2,930,,,,,,,-67
2026-03-06 17:32:53.198,RIOT-BLE-3,1490,,,,,,,-65
2026-03-06 17:32:53.223,RIOT-BLE-2,931,,,,,,,-73
2026-03-06 17:32:53.298,RIOT-BLE-3,1491,,,,,,,-61
2026-03-06 17:32:53.323,RIOT-BLE-2,932,,,,,,,-66
2026-03-06 17:32:53.398,RIOT-BLE-3,1492,,,,,,,-60
2026-03-06 17:32:53.423,RIOT-BLE-2,933,,,,,,,-67
2026-03-06 17:32:53.498,RIOT-BLE-3,1493,,,,,,,-63
2026-03-06 17:32:53.524,RIOT-BLE-2,934,,,,,,,-76
2026-03-06 17:32:53.599,RIOT-BLE-3,1494,,,,,,,-63
2026-03-06 17:32:53.627,RIOT-BLE-2,935,,,,,,,-65
2026-03-06 17:32:53.699,RIOT-BLE-3,1495,,,,,,,-62
