gmake: Entering directory '/Users/yulin/Desktop/iot-ml/iot/rx'
/Users/yulin/Desktop/iot-ml/RIOT/dist/tools/pyterm/pyterm -p "/dev/tty.usbmodem101" -b "115200" -ln "/tmp/pyterm-yulin" -rn "2026-03-07_16.26.42-iot_rx-adafruit-feather-nrf52840-sense"  
2026-03-07 16:26:42,861 # Connect to serial port /dev/tty.usbmodem101
Welcome to pyterm!
Type '/exit' to exit.
2026-03-07 16:26:43,907 # RIOT-BLE-2,1255,,,,,,,-77
2026-03-07 16:26:43,909 # RIOT-BLE-0,5055,,,,,,,-75
2026-03-07 16:26:43,910 # RIOT-BLE-0,5056,,,,,,,-76
2026-03-07 16:26:43,911 # RIOT-BLE-2,1256,,,,,,,-76
2026-03-07 16:26:43,911 # RIOT-BLE-2,1257,,,,,,,-76
2026-03-07 16:26:43,912 # RIOT-BLE-3,4567,,,,,,,-77
2026-03-07 16:26:43,912 # RIOT-BLE-3,4568,,,,,,,-76
2026-03-07 16:26:43,912 # RIOT-BLE-1,872,,,,,,,-74
2026-03-07 16:26:43,913 # RIOT-BLE-1,873,,,,,,,-75
2026-03-07 16:26:43,913 # RIOT-BLE-2,1258,,,,,,,-79
2026-03-07 16:26:43,914 # RIOT-BLE-1,874,,,,,,,-75
2026-03-07 16:26:43,914 # RIOT-BLE-0,5057,,,,,,,-75
2026-03-07 16:26:43,916 # RIOT-BLE-3,4569,,,,,,,-76
2026-03-07 16:26:43,917 # RIOT-BLE-1,875,,,,,,,-75
2026-03-07 16:26:43,921 # RIOT-BLE-0,5058,,,,,,,-75
2026-03-07 16:26:43,924 # RIOT-BLE-0,5059,,,,,,,-77
2026-03-07 16:26:43,924 # RIOT-BLE-2,1259,,,,,,,-77
2026-03-07 16:26:43,925 # RIOT-BLE-1,876,,,,,,,-80
2026-03-07 16:26:43,925 # RIOT-BLE-2,1260,,,,,,,-78
2026-03-07 16:26:43,926 # RIOT-BLE-3,4570,,,,,,,-75
2026-03-07 16:26:43,926 # RIOT-BLE-3,4571,,,,,,,-76
2026-03-07 16:26:43,927 # RIOT-BLE-1,877,,,,,,,-79
2026-03-07 16:26:43,928 # RIOT-BLE-2,1261,,,,,,,-78
2026-03-07 16:26:43,928 # RIOT-BLE-0,5060,,,,,,,-75
2026-03-07 16:26:43,929 # RIOT-BLE-3,4573,,,,,,,-81
2026-03-07 16:26:43,930 # RIOT-BLE-0,5061,,,,,,,-77
2026-03-07 16:26:43,930 # RIOT-BLE-1,878,,,,,,,-75
2026-03-07 16:26:43,931 # RIOT-BLE-0,5062,,,,,,,-76
