ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi,environment
2026-03-06 16:34:03.317,RIOT-BLE-3,5340,,,,,,,-58,bridge
2026-03-06 16:34:03.417,RIOT-BLE-3,5341,,,,,,,-57,bridge
2026-03-06 16:34:03.517,RIOT-BLE-3,5342,,,,,,,-58,bridge
2026-03-06 16:34:03.617,RIOT-BLE-3,5343,,,,,,,-59,bridge
2026-03-06 16:34:03.717,RIOT-BLE-3,5344,,,,,,,-61,bridge
2026-03-06 16:34:03.817,RIOT-BLE-3,5345,,,,,,,-65,bridge
2026-03-06 16:34:03.917,RIOT-BLE-3,5346,,,,,,,-71,bridge
2026-03-06 16:34:04.017,RIOT-BLE-3,5347,,,,,,,-62,bridge
2026-03-06 16:34:04.167,RIOT-BLE-3,5348,,,,,,,-60,bridge
2026-03-06 16:34:04.217,RIOT-BLE-3,5349,,,,,,,-62,bridge
2026-03-06 16:34:04.316,RIOT-BLE-3,5350,,,,,,,-64,bridge
2026-03-06 16:34:04.417,RIOT-BLE-3,5351,,,,,,,-58,bridge
2026-03-06 16:34:04.517,RIOT-BLE-3,5352,,,,,,,-68,bridge
2026-03-06 16:34:04.617,RIOT-BLE-3,5353,,,,,,,-59,bridge
2026-03-06 16:34:04.717,RIOT-BLE-3,5354,,,,,,,-62,bridge
2026-03-06 16:34:04.817,RIOT-BLE-3,5355,,,,,,,-64,bridge
2026-03-06 16:34:04.917,RIOT-BLE-3,5356,,,,,,,-63,bridge
2026-03-06 16:34:05.017,RIOT-BLE-3,5357,,,,,,,-60,bridge
2026-03-06 16:34:05.117,RIOT-BLE-3,5358,,,,,,,-60,bridge
2026-03-06 16:34:05.217,RIOT-BLE-3,5359,,,,,,,-63,bridge
2026-03-06 16:34:05.317,RIOT-BLE-3,5360,,,,,,,-63,bridge
2026-03-06 16:34:05.417,RIOT-BLE-3,5361,,,,,,,-64,bridge
2026-03-06 16:34:05.517,RIOT-BLE-3,5362,,,,,,,-63,bridge
2026-03-06 16:34:05.617,RIOT-BLE-3,5363,,,,,,,-67,bridge
2026-03-06 16:34:05.717,RIOT-BLE-3,5364,,,,,,,-66,bridge
2026-03-06 16:34:05.817,RIOT-BLE-3,5365,,,,,,,-70,bridge
