ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi,environment
2026-03-06 16:34:11.104,RIOT-BLE-1,5528,,,,,,,-75,bridge
2026-03-06 16:34:11.154,RIOT-BLE-1,5529,,,,,,,-76,bridge
2026-03-06 16:34:11.254,RIOT-BLE-1,5530,,,,,,,-73,bridge
2026-03-06 16:34:11.554,RIOT-BLE-1,5531,,,,,,,-79,bridge
2026-03-06 16:34:11.556,RIOT-BLE-1,5532,,,,,,,-79,bridge
2026-03-06 16:34:11.905,RIOT-BLE-1,5534,,,,,,,-72,bridge
2026-03-06 16:34:11.907,RIOT-BLE-1,5535,,,,,,,-72,bridge
2026-03-06 16:34:12.154,RIOT-BLE-1,5537,,,,,,,-78,bridge
2026-03-06 16:34:12.204,RIOT-BLE-1,5538,,,,,,,-73,bridge
2026-03-06 16:34:12.304,RIOT-BLE-1,5540,,,,,,,-71,bridge
2026-03-06 16:34:12.454,RIOT-BLE-1,5541,,,,,,,-80,bridge
2026-03-06 16:34:12.457,RIOT-BLE-1,5542,,,,,,,-81,bridge
2026-03-06 16:34:12.555,RIOT-BLE-1,5543,,,,,,,-73,bridge
2026-03-06 16:34:12.655,RIOT-BLE-1,5544,,,,,,,-74,bridge
2026-03-06 16:34:12.855,RIOT-BLE-1,5545,,,,,,,-74,bridge
2026-03-06 16:34:12.857,RIOT-BLE-1,5546,,,,,,,-74,bridge
2026-03-06 16:34:12.954,RIOT-BLE-1,5547,,,,,,,-81,bridge
2026-03-06 16:34:13.154,RIOT-BLE-1,5548,,,,,,,-72,bridge
2026-03-06 16:34:13.157,RIOT-BLE-1,5549,,,,,,,-72,bridge
2026-03-06 16:34:13.255,RIOT-BLE-1,5550,,,,,,,-73,bridge
2026-03-06 16:34:13.355,RIOT-BLE-1,5551,,,,,,,-73,bridge
2026-03-06 16:34:13.455,RIOT-BLE-1,5552,,,,,,,-70,bridge
2026-03-06 16:34:13.554,RIOT-BLE-1,5553,,,,,,,-72,bridge
2026-03-06 16:34:13.655,RIOT-BLE-1,5554,,,,,,,-74,bridge
2026-03-06 16:34:13.755,RIOT-BLE-1,5555,,,,,,,-71,bridge
2026-03-06 16:34:13.855,RIOT-BLE-1,5556,,,,,,,-74,bridge
2026-03-06 16:34:13.955,RIOT-BLE-1,5557,,,,,,,-74,bridge
2026-03-06 16:34:14.055,RIOT-BLE-1,5558,,,,,,,-78,bridge
2026-03-06 16:34:14.155,RIOT-BLE-1,5559,,,,,,,-70,bridge
2026-03-06 16:34:14.255,RIOT-BLE-1,5560,,,,,,,-76,bridge
2026-03-06 16:34:14.355,RIOT-BLE-1,5561,,,,,,,-67,bridge
2026-03-06 16:34:14.455,RIOT-BLE-1,5562,,,,,,,-71,bridge
2026-03-06 16:34:14.555,RIOT-BLE-1,5563,,,,,,,-74,bridge
2026-03-06 16:34:14.655,RIOT-BLE-1,5564,,,,,,,-77,bridge
2026-03-06 16:34:14.755,RIOT-BLE-1,5565,,,,,,,-77,bridge
2026-03-06 16:34:14.905,RIOT-BLE-1,5566,,,,,,,-76,bridge
2026-03-06 16:34:14.955,RIOT-BLE-1,5567,,,,,,,-75,bridge
2026-03-06 16:34:15.057,RIOT-BLE-1,5568,,,,,,,-71,bridge
2026-03-06 16:34:15.160,RIOT-BLE-1,5569,,,,,,,-74,bridge
2026-03-06 16:34:15.255,RIOT-BLE-1,5570,,,,,,,-73,bridge
2026-03-06 16:34:15.355,RIOT-BLE-1,5571,,,,,,,-69,bridge
2026-03-06 16:34:15.455,RIOT-BLE-1,5572,,,,,,,-75,bridge
2026-03-06 16:34:15.655,RIOT-BLE-1,5573,,,,,,,-79,bridge
2026-03-06 16:34:15.657,RIOT-BLE-1,5574,,,,,,,-79,bridge
2026-03-06 16:34:15.755,RIOT-BLE-1,5575,,,,,,,-76,bridge
2026-03-06 16:34:15.855,RIOT-BLE-1,5576,,,,,,,-74,bridge
2026-03-06 16:34:15.955,RIOT-BLE-1,5577,,,,,,,-70,bridge
2026-03-06 16:34:16.105,RIOT-BLE-1,5578,,,,,,,-70,bridge
2026-03-06 16:34:16.255,RIOT-BLE-1,5579,,,,,,,-75,bridge
2026-03-06 16:34:16.257,RIOT-BLE-1,5580,,,,,,,-75,bridge
2026-03-06 16:34:16.405,RIOT-BLE-1,5581,,,,,,,-75,bridge
2026-03-06 16:34:16.455,RIOT-BLE-1,5582,,,,,,,-72,bridge
2026-03-06 16:34:16.555,RIOT-BLE-1,5583,,,,,,,-70,bridge
2026-03-06 16:34:16.655,RIOT-BLE-1,5584,,,,,,,-78,bridge
2026-03-06 16:34:16.855,RIOT-BLE-1,5585,,,,,,,-76,bridge
2026-03-06 16:34:16.857,RIOT-BLE-1,5586,,,,,,,-76,bridge
2026-03-06 16:34:16.955,RIOT-BLE-1,5587,,,,,,,-71,bridge
2026-03-06 16:34:17.155,RIOT-BLE-1,5588,,,,,,,-74,bridge
2026-03-06 16:34:17.157,RIOT-BLE-1,5589,,,,,,,-74,bridge
2026-03-06 16:34:17.255,RIOT-BLE-1,5590,,,,,,,-82,bridge
2026-03-06 16:34:17.355,RIOT-BLE-1,5591,,,,,,,-72,bridge
2026-03-06 16:34:17.455,RIOT-BLE-1,5592,,,,,,,-75,bridge
2026-03-06 16:34:17.605,RIOT-BLE-1,5593,,,,,,,-72,bridge
2026-03-06 16:34:17.655,RIOT-BLE-1,5594,,,,,,,-74,bridge
2026-03-06 16:34:17.805,RIOT-BLE-1,5595,,,,,,,-79,bridge
2026-03-06 16:34:18.005,RIOT-BLE-1,5596,,,,,,,-74,bridge
2026-03-06 16:34:18.007,RIOT-BLE-1,5597,,,,,,,-73,bridge
2026-03-06 16:34:18.155,RIOT-BLE-1,5598,,,,,,,-77,bridge
2026-03-06 16:34:18.157,RIOT-BLE-1,5599,,,,,,,-78,bridge
2026-03-06 16:34:18.755,RIOT-BLE-1,5600,,,,,,,-76,bridge
2026-03-06 16:34:18.757,RIOT-BLE-1,5601,,,,,,,-76,bridge
2026-03-06 16:34:19.055,RIOT-BLE-1,5606,,,,,,,-74,bridge
2026-03-06 16:34:19.057,RIOT-BLE-1,5607,,,,,,,-75,bridge
2026-03-06 16:34:19.155,RIOT-BLE-1,5609,,,,,,,-78,bridge
2026-03-06 16:34:19.255,RIOT-BLE-1,5610,,,,,,,-74,bridge
2026-03-06 16:34:19.460,RIOT-BLE-1,5611,,,,,,,-77,bridge
2026-03-06 16:34:19.462,RIOT-BLE-1,5612,,,,,,,-77,bridge
2026-03-06 16:34:19.655,RIOT-BLE-1,5613,,,,,,,-78,bridge
2026-03-06 16:34:19.657,RIOT-BLE-1,5614,,,,,,,-77,bridge
2026-03-06 16:34:19.756,RIOT-BLE-1,5615,,,,,,,-78,bridge
2026-03-06 16:34:19.956,RIOT-BLE-1,5616,,,,,,,-73,bridge
2026-03-06 16:34:19.958,RIOT-BLE-1,5617,,,,,,,-73,bridge
2026-03-06 16:34:20.056,RIOT-BLE-1,5618,,,,,,,-74,bridge
2026-03-06 16:34:20.205,RIOT-BLE-1,5619,,,,,,,-72,bridge
2026-03-06 16:34:20.305,RIOT-BLE-1,5620,,,,,,,-77,bridge
2026-03-06 16:34:20.361,RIOT-BLE-1,5621,,,,,,,-77,bridge
2026-03-06 16:34:20.455,RIOT-BLE-1,5622,,,,,,,-79,bridge
2026-03-06 16:34:20.555,RIOT-BLE-1,5623,,,,,,,-79,bridge
2026-03-06 16:34:20.705,RIOT-BLE-1,5624,,,,,,,-80,bridge
2026-03-06 16:34:20.755,RIOT-BLE-1,5625,,,,,,,-70,bridge
2026-03-06 16:34:20.905,RIOT-BLE-1,5626,,,,,,,-69,bridge
2026-03-06 16:34:20.955,RIOT-BLE-1,5627,,,,,,,-77,bridge
2026-03-06 16:34:21.055,RIOT-BLE-1,5628,,,,,,,-77,bridge
2026-03-06 16:34:21.155,RIOT-BLE-1,5629,,,,,,,-79,bridge
2026-03-06 16:34:21.255,RIOT-BLE-1,5630,,,,,,,-75,bridge
2026-03-06 16:34:21.355,RIOT-BLE-1,5631,,,,,,,-72,bridge
2026-03-06 16:34:21.509,RIOT-BLE-1,5632,,,,,,,-72,bridge
2026-03-06 16:34:21.555,RIOT-BLE-1,5633,,,,,,,-74,bridge
2026-03-06 16:34:21.656,RIOT-BLE-1,5634,,,,,,,-76,bridge
2026-03-06 16:34:21.756,RIOT-BLE-1,5635,,,,,,,-77,bridge
2026-03-06 16:34:21.856,RIOT-BLE-1,5636,,,,,,,-73,bridge
2026-03-06 16:34:22.006,RIOT-BLE-1,5637,,,,,,,-79,bridge
2026-03-06 16:34:22.056,RIOT-BLE-1,5638,,,,,,,-71,bridge
2026-03-06 16:34:22.156,RIOT-BLE-1,5639,,,,,,,-75,bridge
2026-03-06 16:34:22.306,RIOT-BLE-1,5640,,,,,,,-71,bridge
2026-03-06 16:34:22.356,RIOT-BLE-1,5641,,,,,,,-69,bridge
2026-03-06 16:34:22.456,RIOT-BLE-1,5642,,,,,,,-79,bridge
2026-03-06 16:34:22.556,RIOT-BLE-1,5643,,,,,,,-78,bridge
2026-03-06 16:34:22.656,RIOT-BLE-1,5644,,,,,,,-78,bridge
2026-03-06 16:34:22.756,RIOT-BLE-1,5645,,,,,,,-75,bridge
2026-03-06 16:34:22.856,RIOT-BLE-1,5646,,,,,,,-78,bridge
2026-03-06 16:34:23.006,RIOT-BLE-1,5647,,,,,,,-79,bridge
2026-03-06 16:34:23.056,RIOT-BLE-1,5648,,,,,,,-74,bridge
2026-03-06 16:34:23.456,RIOT-BLE-1,5649,,,,,,,-73,bridge
2026-03-06 16:34:23.458,RIOT-BLE-1,5650,,,,,,,-73,bridge
2026-03-06 16:34:23.556,RIOT-BLE-1,5653,,,,,,,-79,bridge
2026-03-06 16:34:23.656,RIOT-BLE-1,5654,,,,,,,-78,bridge
2026-03-06 16:34:23.760,RIOT-BLE-1,5655,,,,,,,-77,bridge
2026-03-06 16:34:24.006,RIOT-BLE-1,5656,,,,,,,-76,bridge
2026-03-06 16:34:24.008,RIOT-BLE-1,5657,,,,,,,-77,bridge
2026-03-06 16:34:24.056,RIOT-BLE-1,5658,,,,,,,-81,bridge
2026-03-06 16:34:24.156,RIOT-BLE-1,5659,,,,,,,-76,bridge
2026-03-06 16:34:24.306,RIOT-BLE-1,5660,,,,,,,-74,bridge
2026-03-06 16:34:24.356,RIOT-BLE-1,5661,,,,,,,-81,bridge
2026-03-06 16:34:24.456,RIOT-BLE-1,5662,,,,,,,-75,bridge
2026-03-06 16:34:24.556,RIOT-BLE-1,5663,,,,,,,-68,bridge
2026-03-06 16:34:24.806,RIOT-BLE-1,5664,,,,,,,-78,bridge
2026-03-06 16:34:24.808,RIOT-BLE-1,5665,,,,,,,-78,bridge
2026-03-06 16:34:24.906,RIOT-BLE-1,5666,,,,,,,-76,bridge
2026-03-06 16:34:25.056,RIOT-BLE-1,5667,,,,,,,-70,bridge
2026-03-06 16:34:25.058,RIOT-BLE-1,5668,,,,,,,-70,bridge
2026-03-06 16:34:25.156,RIOT-BLE-1,5669,,,,,,,-73,bridge
2026-03-06 16:34:25.256,RIOT-BLE-1,5670,,,,,,,-78,bridge
2026-03-06 16:34:25.456,RIOT-BLE-1,5671,,,,,,,-76,bridge
2026-03-06 16:34:25.459,RIOT-BLE-1,5672,,,,,,,-76,bridge
2026-03-06 16:34:25.607,RIOT-BLE-1,5673,,,,,,,-72,bridge
2026-03-06 16:34:25.656,RIOT-BLE-1,5674,,,,,,,-80,bridge
2026-03-06 16:34:25.756,RIOT-BLE-1,5675,,,,,,,-73,bridge
