ts,device,seq,temp_val,temp_scale,hum_val,hum_scale,press_val,press_scale,rssi,environment
2026-03-06 16:35:51.145,RIOT-BLE-2,0,,,,,,,-74,bridge
2026-03-06 16:35:51.245,RIOT-BLE-2,1,,,,,,,-68,bridge
2026-03-06 16:35:51.295,RIOT-BLE-2,2,,,,,,,-72,bridge
2026-03-06 16:35:51.395,RIOT-BLE-2,3,,,,,,,-70,bridge
2026-03-06 16:35:51.495,RIOT-BLE-2,4,,,,,,,-76,bridge
2026-03-06 16:35:51.595,RIOT-BLE-2,5,,,,,,,-70,bridge
2026-03-06 16:35:51.795,RIOT-BLE-2,6,,,,,,,-73,bridge
2026-03-06 16:35:51.797,RIOT-BLE-2,7,,,,,,,-72,bridge
2026-03-06 16:35:51.945,RIOT-BLE-2,8,,,,,,,-72,bridge
2026-03-06 16:35:51.995,RIOT-BLE-2,9,,,,,,,-79,bridge
2026-03-06 16:35:52.095,RIOT-BLE-2,10,,,,,,,-72,bridge
2026-03-06 16:35:52.245,RIOT-BLE-2,11,,,,,,,-71,bridge
2026-03-06 16:35:52.295,RIOT-BLE-2,12,,,,,,,-77,bridge
2026-03-06 16:35:52.395,RIOT-BLE-2,13,,,,,,,-79,bridge
2026-03-06 16:35:52.495,RIOT-BLE-2,14,,,,,,,-70,bridge
2026-03-06 16:35:52.595,RIOT-BLE-2,15,,,,,,,-76,bridge
2026-03-06 16:35:52.695,RIOT-BLE-2,16,,,,,,,-69,bridge
2026-03-06 16:35:52.795,RIOT-BLE-2,17,,,,,,,-73,bridge
2026-03-06 16:35:52.895,RIOT-BLE-2,18,,,,,,,-80,bridge
2026-03-06 16:35:52.995,RIOT-BLE-2,19,,,,,,,-66,bridge
2026-03-06 16:35:53.095,RIOT-BLE-2,20,,,,,,,-67,bridge
2026-03-06 16:35:53.196,RIOT-BLE-2,21,,,,,,,-80,bridge
2026-03-06 16:35:53.295,RIOT-BLE-2,22,,,,,,,-68,bridge
2026-03-06 16:35:53.395,RIOT-BLE-2,23,,,,,,,-75,bridge
2026-03-06 16:35:53.495,RIOT-BLE-2,24,,,,,,,-67,bridge
2026-03-06 16:35:53.595,RIOT-BLE-2,25,,,,,,,-74,bridge
2026-03-06 16:35:53.695,RIOT-BLE-2,26,,,,,,,-69,bridge
2026-03-06 16:35:53.796,RIOT-BLE-2,27,,,,,,,-76,bridge
2026-03-06 16:35:53.895,RIOT-BLE-2,28,,,,,,,-76,bridge
2026-03-06 16:35:54.045,RIOT-BLE-2,29,,,,,,,-77,bridge
2026-03-06 16:35:54.095,RIOT-BLE-2,30,,,,,,,-77,bridge
2026-03-06 16:35:54.196,RIOT-BLE-2,31,,,,,,,-74,bridge
2026-03-06 16:35:54.296,RIOT-BLE-2,32,,,,,,,-75,bridge
2026-03-06 16:35:54.445,RIOT-BLE-2,33,,,,,,,-77,bridge
2026-03-06 16:35:54.495,RIOT-BLE-2,34,,,,,,,-76,bridge
2026-03-06 16:35:54.596,RIOT-BLE-2,35,,,,,,,-74,bridge
2026-03-06 16:35:54.695,RIOT-BLE-2,36,,,,,,,-72,bridge
2026-03-06 16:35:54.795,RIOT-BLE-2,37,,,,,,,-77,bridge
2026-03-06 16:35:54.945,RIOT-BLE-2,38,,,,,,,-69,bridge
2026-03-06 16:35:54.995,RIOT-BLE-2,39,,,,,,,-73,bridge
2026-03-06 16:35:55.095,RIOT-BLE-2,40,,,,,,,-74,bridge
2026-03-06 16:35:55.196,RIOT-BLE-2,41,,,,,,,-77,bridge
2026-03-06 16:35:55.395,RIOT-BLE-2,42,,,,,,,-77,bridge
2026-03-06 16:35:55.398,RIOT-BLE-2,43,,,,,,,-76,bridge
2026-03-06 16:35:55.496,RIOT-BLE-2,44,,,,,,,-72,bridge
